Respondent ID,Collector ID,Start Date,End Date,Device_Question,Age_Question,Gender,City,State,Zip Code,Country,Income_Question,Food_Preference,Google,Age,Gender,Household Income,Region,Device Type,Item,Item_Price
6827015185,173013020,4/14/18 15:15,4/14/18 15:18,Laptop/Desktop,20,Male,Kokomo ,IN,46902,IN,1997,Other,"Yes, and I found the actual prices from the actual restaurants.",18-29,Male,"$25,000-$49,999",East North Central,iOS Phone / Tablet,Item1_PTSerif,2
6826965691,173013020,4/14/18 14:12,4/14/18 14:16,Laptop/Desktop,42,Male,Bergenfield,NJ,7621,US,110000,Vegan,No.,30-44,Male,"$125,000-$149,999",Middle Atlantic,MacOS Desktop / Laptop,Item1_RobotoSlab,13.99
6826746240,173013020,4/14/18 10:22,4/14/18 10:27,Laptop/Desktop,38,Male,Valdese,NC,28690,United States,40000,Omnivore,No.,30-44,Male,Prefer not to answer,Middle Atlantic,Windows Desktop / Laptop,Item1_JosefinSans,10
6826496831,173013020,4/14/18 6:35,4/14/18 6:42,Laptop/Desktop,40,Male,savannah,GA,31407,usa,75000,Other,"No, but I was tempted to.",30-44,Male,"$75,000-$99,999",South Atlantic,Windows Desktop / Laptop,Item1_PTSans,10
6826396582,173013020,4/14/18 4:30,4/14/18 4:53,Laptop/Desktop,39,Male,arlington,MA,2476,usa,20000,Vegetarian,No.,30-44,Male,"$175,000-$199,999",New England,Windows Desktop / Laptop,Item1_Roboto,10
6826232785,173013020,4/14/18 0:30,4/14/18 1:02,Laptop/Desktop,35,Male,Waukesha,WI,53186,Waukesha,55214,Omnivore,No.,30-44,Male,"$50,000-$74,999",East North Central,Windows Desktop / Laptop,Item1_RobotoSlab,18
6825999254,173013020,4/13/18 17:01,4/13/18 18:51,Laptop/Desktop,26,Female,Brooklyn,NY,11218,United States,24000,Omnivore,No.,18-29,Female,"$10,000-$24,999",Middle Atlantic,Windows Desktop / Laptop,Item1_JosefinSans,7
6825977535,173013020,4/13/18 18:10,4/13/18 18:25,Laptop/Desktop,31,Male,Davenport,IA,52806,United States,38000,Omnivore,No.,30-44,Male,"$10,000-$24,999",West North Central,Windows Desktop / Laptop,Item1_JosefinSlab,15.99
6825967584,173013020,4/13/18 18:09,4/13/18 18:13,Laptop/Desktop,23,Male,Lowell,MA,1854,USA,115000,Omnivore,No.,18-29,Male,"$75,000-$99,999",New England,MacOS Desktop / Laptop,Item1_PTSerif,8
6825932970,173013020,4/13/18 17:32,4/13/18 17:36,Laptop/Desktop,63,Male,CHICAGO,IL,60634,US,24500,Omnivore,"No, but I was tempted to.",> 60,Male,"$10,000-$24,999",East North Central,Other,Item1_JosefinSlab,12
