Respondent ID,Device_Question,Age,City,State,Zip Code,Country,Income,Food_Preference,Google,Gender,Region,Device Type,Item,Item_Price
6827015185,Laptop/Desktop,20,Kokomo ,IN,46902,IN,1997,Other,"Yes, and I found the actual prices from the actual restaurants.",Male,East North Central,iOS Phone / Tablet,Item1_PTSerif,2
6826965691,Laptop/Desktop,42,Bergenfield,NJ,7621,US,110000,Vegan,No.,Male,Middle Atlantic,MacOS Desktop / Laptop,Item1_RobotoSlab,13.99
6826746240,Laptop/Desktop,38,Valdese,NC,28690,United States,40000,Omnivore,No.,Male,Middle Atlantic,Windows Desktop / Laptop,Item1_JosefinSans,10
6826496831,Laptop/Desktop,40,savannah,GA,31407,usa,75000,Other,"No, but I was tempted to.",Male,South Atlantic,Windows Desktop / Laptop,Item1_PTSans,10
6826396582,Laptop/Desktop,39,arlington,MA,2476,usa,20000,Vegetarian,No.,Male,New England,Windows Desktop / Laptop,Item1_Roboto,10
6826232785,Laptop/Desktop,35,Waukesha,WI,53186,Waukesha,55214,Omnivore,No.,Male,East North Central,Windows Desktop / Laptop,Item1_RobotoSlab,18
6825999254,Laptop/Desktop,26,Brooklyn,NY,11218,United States,24000,Omnivore,No.,Female,Middle Atlantic,Windows Desktop / Laptop,Item1_JosefinSans,7
6825977535,Laptop/Desktop,31,Davenport,IA,52806,United States,38000,Omnivore,No.,Male,West North Central,Windows Desktop / Laptop,Item1_JosefinSlab,15.99
6825967584,Laptop/Desktop,23,Lowell,MA,1854,USA,115000,Omnivore,No.,Male,New England,MacOS Desktop / Laptop,Item1_PTSerif,8
6825932970,Laptop/Desktop,63,CHICAGO,IL,60634,US,24500,Omnivore,"No, but I was tempted to.",Male,East North Central,Other,Item1_JosefinSlab,12
6825923391,Laptop/Desktop,30,Chino Hills,CA,91709,United States,100000,Other,No.,Female,Pacific,Windows Desktop / Laptop,Item1_PTSerif,25
6825922568,Laptop/Desktop,42,San Carlos,CA,94070,USA,115000,Omnivore,No.,Female,Pacific,Windows Desktop / Laptop,Item1_JosefinSans,14.95
6825920511,Laptop/Desktop,65,Brooksville,FL,34601,USA,50000,Other,No.,Male,East South Central,Windows Desktop / Laptop,Item1_PTSerif,18
6825917170,Laptop/Desktop,51,Downers Grove,IL,60516,United States,40,Omnivore,No.,Female,East North Central,Windows Desktop / Laptop,Item1_PTSans,12
6825906718,Laptop/Desktop,67,Las Vegas,NV,89107,U.S.,20000,Omnivore,No.,Male,,Windows Desktop / Laptop,Item1_RobotoSlab,12
6825903868,Laptop/Desktop,81,Memphis,TN,38120,USA,45000,Other,"Yes, but I did not find the actual prices.",Female,East South Central,Windows Desktop / Laptop,Item1_JosefinSlab,16
6825902599,Laptop/Desktop,62,Port Jervis,NY,12771,United States,12000,Other,No.,Female,Middle Atlantic,Windows Desktop / Laptop,Item1_RobotoSlab,9.99
6825684674,Laptop/Desktop,42,Vergennes,VT,5491,USA,38000,Omnivore,No.,Male,New England,Windows Desktop / Laptop,Item1_Roboto,12
6825595790,Laptop/Desktop,42,Oklahoma City,OK,73160,United States,93000,Omnivore,No.,Male,West South Central,Windows Desktop / Laptop,Item1_PTSans,8
6825576155,Laptop/Desktop,31,POPLAR GROVE,IL,61065,USA,36000,Omnivore,No.,Male,East North Central,Windows Desktop / Laptop,Item1_PTSerif,19
6825360810,Laptop/Desktop,65,miili,AL,47906,usa,30000,Pescatarian,"No, but I was tempted to.",Male,East North Central,Windows Desktop / Laptop,Item1_JosefinSlab,50
6825337437,Laptop/Desktop,32,Chicago,IL,606600,USA,70000,Omnivore,No.,Male,East North Central,Windows Desktop / Laptop,Item1_Roboto,16
6825302751,Laptop/Desktop,28,Colorado Springs,CO,80903,United States,42000,Omnivore,"No, but I was tempted to.",Male,Mountain,MacOS Desktop / Laptop,Item1_JosefinSans,13
6825272152,Laptop/Desktop,41,Parker,CO,80134,United States,146000,Omnivore,No.,Male,Mountain,Windows Desktop / Laptop,Item1_Roboto,12
6825218157,Laptop/Desktop,42,none,OH,of your ,business,0,Omnivore,No.,Male,East North Central,Windows Desktop / Laptop,Item1_JosefinSlab,12.99
6825180199,Laptop/Desktop,34,Omaha,NE,68106,US,50000,Omnivore,No.,Male,West North Central,Windows Desktop / Laptop,Item1_Roboto,15
6824761806,Laptop/Desktop,24,Cincinnati,OH,45240,United States,44000,Omnivore,No.,Male,West North Central,Windows Desktop / Laptop,Item1_JosefinSlab,20
6824708629,Laptop/Desktop,31,LEHI,UT,84043,United States,80000,Omnivore,"No, but I was tempted to.",Male,Mountain,Windows Desktop / Laptop,Item1_JosefinSans,17
6824642776,Laptop/Desktop,39,Boston,MA,2210,usa,200000,Omnivore,No.,Male,New England,Windows Desktop / Laptop,Item1_PTSans,11
6824562357,Laptop/Desktop,28,Madison,WI,53703,USA,40000,Omnivore,No.,Male,East North Central,MacOS Desktop / Laptop,Item1_Roboto,9.99
6824454972,Laptop/Desktop,19,New Glarus,WI,53574,United States,10000,Omnivore,No.,Male,West North Central,Windows Desktop / Laptop,Item1_JosefinSans,10
6824396169,Laptop/Desktop,24,KETTERING,OH,45429,United States,45000,Omnivore,No.,Male,East North Central,Windows Desktop / Laptop,Item1_PTSans,18
6823559460,Laptop/Desktop,26,Union City,CA,94587,United States,50,Vegetarian,"Yes, and I found the actual prices from the actual restaurants.",Male,Pacific,MacOS Desktop / Laptop,Item1_RobotoSlab,45
6822990044,Laptop/Desktop,28,Shakopee,MN,55379,United States,75000,Other,"No, but I was tempted to.",Male,West North Central,Windows Desktop / Laptop,Item1_Roboto,13
6822602050,Laptop/Desktop,59,Cheviot,OH,45211,USA,45000,Omnivore,No.,Male,East North Central,Windows Desktop / Laptop,Item1_RobotoSlab,15
6822516929,Laptop/Desktop,21,chattanooga,TN,37341,usa,24000,Omnivore,No.,Male,East South Central,Windows Desktop / Laptop,Item1_JosefinSlab,9
6822216284,Laptop/Desktop,30,Los Angeles,CA,90003,USA,41000,Other,No.,Male,Pacific,Windows Desktop / Laptop,Item1_RobotoSlab,15.99
6820834507,Laptop/Desktop,22,Lincoln,NE,68508,United States,0,Omnivore,No.,Male,West North Central,Windows Desktop / Laptop,Item1_PTSans,18.99
6820656114,Laptop/Desktop,28,Plainfield,IL,60544,United States,29000,Omnivore,No.,Male,East North Central,Windows Desktop / Laptop,Item1_Roboto,13.5
6820473447,Laptop/Desktop,41,Moses Lake,WA,98837,United States,42000,Omnivore,No.,Male,Pacific,Windows Desktop / Laptop,Item1_Roboto,9.5
6820455002,Laptop/Desktop,55,Kerrville,TX,78028,US,200000,Omnivore,No.,Male,West South Central,Other,Item1_PTSans,12
6820413536,Laptop/Desktop,64,Pacifica,CA,94044,US,54000,Omnivore,No.,Male,Pacific,Windows Desktop / Laptop,Item1_RobotoSlab,7.5
6820350292,Laptop/Desktop,62,Fraser,MI,48026,United States,60000,Omnivore,No.,Male,East North Central,Windows Desktop / Laptop,Item1_Roboto,12
6820341314,Laptop/Desktop,53,Plainwell,MI,49080,United States,215000,Omnivore,No.,Male,East North Central,MacOS Desktop / Laptop,Item1_JosefinSans,15
6820338275,Laptop/Desktop,71,Westerville,OH,43082,United States,100000,Omnivore,No.,Male,East North Central,Windows Desktop / Laptop,Item1_PTSans,12
6820279875,Laptop/Desktop,55,madison,WI,53545,usa,35000,Omnivore,No.,Male,East North Central,Windows Desktop / Laptop,Item1_PTSerif,0
6820261244,Laptop/Desktop,55,The Colony,TX,75056,USA,122000,Other,No.,Male,West South Central,Windows Desktop / Laptop,Item1_PTSans,10
6820231256,Laptop/Desktop,45,Boise,ID,83704,USA,50000,Omnivore,No.,Male,Mountain,Windows Desktop / Laptop,Item1_JosefinSans,10
6820141599,Laptop/Desktop,65,Windsor,CT,06095/3736,usa,117000,Other,No.,Male,New England,Windows Desktop / Laptop,Item1_PTSerif,7
6820088587,Laptop/Desktop,43,Mount Prospect,IL,60056,United States,44000,Omnivore,No.,Male,East North Central,Windows Desktop / Laptop,Item1_RobotoSlab,15
6820069199,Laptop/Desktop,23,Apple Valley,MN,55124,United states,30000,Other,No.,Male,West North Central,Windows Desktop / Laptop,Item1_PTSans,12.99
6820048372,Laptop/Desktop,71,paradise,CA,95969,US,110000,Omnivore,No.,Male,Pacific,Windows Desktop / Laptop,Item1_PTSans,20
6819928879,Laptop/Desktop,76,Norwich,VT,5055,United States,159000,Other,No.,Male,New England,Windows Desktop / Laptop,Item1_PTSans,15
6819925451,Laptop/Desktop,66,SLC,UT,84120,USA,75000,Omnivore,No.,Male,Mountain,Windows Desktop / Laptop,Item1_PTSerif,12.95
6819891817,Laptop/Desktop,62,baltimore,MD,21234,usa,38000,Omnivore,No.,Male,South Atlantic,Windows Desktop / Laptop,Item1_RobotoSlab,12
6819890173,Laptop/Desktop,54,lacresent,MN,55947,Houstan,21000,Omnivore,No.,Male,West North Central,Windows Desktop / Laptop,Item1_PTSerif,9.75
6819628360,Laptop/Desktop,30,New York,NY,10031,United States,25000,Pescatarian,No.,Male,Middle Atlantic,Windows Desktop / Laptop,Item1_Roboto,10
6819489518,Laptop/Desktop,65,Ridgefield,CT,6877,USA,250000,Other,No.,Male,New England,Windows Desktop / Laptop,Item1_JosefinSans,20
6819356905,Laptop/Desktop,65,Holualoa,HI,96725,USA,70000,Omnivore,No.,Male,Pacific,Windows Desktop / Laptop,Item1_JosefinSans,15
6819141248,Laptop/Desktop,65,Beavercreek,OH,45440,United States,100000,Omnivore,No.,Male,East North Central,Windows Desktop / Laptop,Item1_PTSans,25
6819120858,Laptop/Desktop,78,town,FL,32707,U S A,24000,Other,No.,Male,South Atlantic,Windows Desktop / Laptop,Item1_JosefinSlab,15.99
6819119669,Laptop/Desktop,57,S Bound Brook,NJ,8880,USA,22000,Other,No.,Male,Middle Atlantic,Other,Item1_RobotoSlab,25
6819030356,Laptop/Desktop,73,Williamsburg,VA,23188,United States,202000,Omnivore,No.,Male,South Atlantic,Windows Desktop / Laptop,Item1_Roboto,15
6818941909,Laptop/Desktop,78,orem,UT,84121,usa,9999,Omnivore,No.,Male,Mountain,Windows Desktop / Laptop,Item1_JosefinSlab,7
6818936054,Laptop/Desktop,52,Boise,ID,83703,USA,23000,Vegan,No.,Male,Mountain,Windows Desktop / Laptop,Item1_JosefinSans,5.99
6818804263,Laptop/Desktop,49,St Petersburg,FL,33716,USA,54000,Other,No.,Male,South Atlantic,Windows Desktop / Laptop,Item1_RobotoSlab,12.99
6818778886,Laptop/Desktop,76,Robins,IA,52328,United States,40000,Other,No.,Male,West North Central,Windows Desktop / Laptop,Item1_RobotoSlab,12
6818722276,Laptop/Desktop,50,Ocoee,FL,34761,United States,85000,Omnivore,"No, but I was tempted to.",Male,South Atlantic,MacOS Desktop / Laptop,Item1_PTSans,10
6818649309,Laptop/Desktop,52,springdale,AR,72764,usa,210000,Omnivore,No.,Male,West South Central,Windows Desktop / Laptop,Item1_JosefinSans,8.99
6818646209,Laptop/Desktop,67,lc,LA,70605,usa,350000,Other,No.,Male,West South Central,Windows Desktop / Laptop,Item1_PTSans,16
6818536540,Laptop/Desktop,72,Seaford,DE,19973,USA,50000,Omnivore,No.,Male,South Atlantic,Windows Desktop / Laptop,Item1_JosefinSlab,9.99
6818517129,Laptop/Desktop,66,macungie,PA,18062,usa,40000,Other,No.,Male,Middle Atlantic,Windows Desktop / Laptop,Item1_JosefinSlab,14
6818466559,Laptop/Desktop,50,philadelphia,PA,19106,US,200000,Omnivore,No.,Male,South Atlantic,Windows Desktop / Laptop,Item1_PTSans,10
6818404133,Laptop/Desktop,65,Clayton,IN,46118,United States,110000,Omnivore,No.,Male,East North Central,Windows Desktop / Laptop,Item1_RobotoSlab,11.99
6818395541,Laptop/Desktop,44,minneapolis,MN,55402,USA,180000,Vegetarian,No.,Male,West North Central,Windows Desktop / Laptop,Item1_RobotoSlab,15
6818342116,Laptop/Desktop,66,Spokane,WA,99223,USA,19000,Other,No.,Male,Pacific,Windows Desktop / Laptop,Item1_PTSerif,10
6818271039,Laptop/Desktop,32,na,NE,2065,Australia,0,Vegetarian,No.,Male,New England,Windows Desktop / Laptop,Item1_JosefinSans,6
6818179509,Laptop/Desktop,56,overthere,NM,87034,us,45000,Other,"No, but I was tempted to.",Male,Mountain,Windows Desktop / Laptop,Item1_Roboto,25
6818169209,Laptop/Desktop,71,kanopolis,KS,67454,usa,50000,Other,No.,Male,West North Central,Windows Desktop / Laptop,Item1_RobotoSlab,13
6818096372,Laptop/Desktop,58,Butte,MT,59701,usa,13000,Other,No.,Male,Mountain,Windows Desktop / Laptop,Item1_JosefinSlab,12
6818061227,Laptop/Desktop,59,Kuna,ID,83634,United States,23000,Omnivore,No.,Male,Mountain,Windows Desktop / Laptop,Item1_PTSerif,12
6817991268,Laptop/Desktop,46,Clovis,NM,88101,USA,20000,Other,No.,Male,Mountain,Windows Desktop / Laptop,Item1_JosefinSlab,9.95
6817977127,Laptop/Desktop,61,Conneaut Lake,PA,16316,USA,22000,Omnivore,No.,Male,Middle Atlantic,Windows Desktop / Laptop,Item1_PTSans,15
6817928191,Laptop/Desktop,57,Chicago,IL,60660,USA,23000,Other,No.,Male,West North Central,MacOS Desktop / Laptop,Item1_RobotoSlab,8
6817885404,Laptop/Desktop,62,Keymar,MD,21757,United States,77000,Omnivore,No.,Male,South Atlantic,Windows Desktop / Laptop,Item1_JosefinSans,18
6817789555,Laptop/Desktop,65,Peterstown,WV,24963,USA,500,Omnivore,No.,Male,South Atlantic,Windows Desktop / Laptop,Item1_JosefinSlab,7
6817754377,Laptop/Desktop,55,Mentor,OH,44060,USA,150000,Other,No.,Male,East North Central,Windows Desktop / Laptop,Item1_JosefinSans,15
6817670849,Laptop/Desktop,69,Baltimore,MD,21208,United States,91000,Omnivore,No.,Male,South Atlantic,Windows Desktop / Laptop,Item1_JosefinSans,14.95
