Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Age,Gender,State,City,Income,Food_Preference,Item1,Price1,Item2,Price2,Item3,Price3,Item4,Price4,Item5,Price5,Item6,Price6,Survey_Purpose,Google,Age_SM,Gender_SM,Household_Income_SM,Region_SM,Device_Type_SM
6803918335,172774609,4/4/18 13:56,4/4/18 14:01,,,,,004c55c5893cb7c980f9329733,67,Male,California,San Francisco,36000,Vegan,Item1_RobotoSlab,5,Item2_PTSans,7,Item3_JosefinSlab,12,Item4_PTSans,7,Item5_JosefinSlab,12,Item6_Roboto,9,What prices the market will bear,No.,> 60,Male,"$50,000-$74,999",Pacific,Windows Desktop / Laptop
6803918335,172774609,4/4/18 13:56,4/4/18 14:00,,,,,cf42b1fe670dc2d397fd4eba69,18,Female,Minnesota ,Rochester ,75000,Omnivore,Item1_PTSerif,8.99,Item2_JosefinSlab,7.99,Item3_JosefinSlab,9.99,Item4_Roboto,10.99,Item5_PTSans,10.99,Item6_Roboto,9.99,To find out what people estimate prices as and compare to the actual price ,No.,18-29,Male,"$75,000-$99,999",West North Central,iOS Phone / Tablet
6803910171,172774609,4/4/18 13:53,4/4/18 13:58,,,,,ce458c16cf4d0850707b4d5e29,63,Male,Pennsylvania,Palmyra,72000,Omnivore,Item1_JosefinSans,16,Item2_PTSans,22,Item3_JosefinSans,32,Item4_PTSerif,28,Item5_RobotoSlab,42,Item6_JosefinSans,22,If bumpkins like me from local areas would be shocked to realize how much food at city restaurants really costs,No.,> 60,Male,"$75,000-$99,999",Middle Atlantic,Windows Desktop / Laptop
6803865920,172774609,4/4/18 13:35,4/4/18 13:40,,,,,ca3f2dab3d0438daacada7fb09,67,Male,Delaware,Wilmington,22000,Omnivore,Item1_Roboto,12,Item2_JosefinSans,16,Item3_JosefinSlab,22,Item4_PTSans,18,Item5_Roboto,35,Item6_PTSans,22,Pricing menu items in a real-estate expensive market ,No.,> 60,Male,"$10,000-$24,999",South Atlantic,iOS Phone / Tablet
6803845118,172774609,4/4/18 13:27,4/4/18 13:33,,,,,9ab72410f0012cdc7c7b7df5cb,50,Male,California,vista,120000,Omnivore,Item1_RobotoSlab,12.99,Item2_JosefinSans,12.99,Item3_JosefinSans,14.99,Item4_JosefinSlab,14.99,Item5_Roboto,12.99,Item6_Roboto,15.99,restaurant entree pricing,No.,45-60,Male,"$175,000-$199,999",Pacific,Windows Desktop / Laptop
6803816174,172774609,4/4/18 13:17,4/4/18 13:23,,,,,d60b51f2607741dc84d940159b,21,Male,Newyork,Longisland,36000,Pescatarian,Item1_Roboto,16,Item2_RobotoSlab,17,Item3_Roboto,27,Item4_JosefinSlab,21,Item5_JosefinSans,28,Item6_JosefinSans,23,To get information from users,No.,18-29,Male,"$25,000-$49,999",,Android Phone / Tablet
6803786605,172774609,4/4/18 13:06,4/4/18 13:15,,,,,a4147c42a203eebe1e0220692f,75,Male,Michigan,Rogers city,60,Omnivore,Item1_JosefinSlab,15,Item2_JosefinSans,20,Item3_Roboto,28,Item4_PTSerif,65,Item5_JosefinSlab,50,Item6_JosefinSans,30,Value awareness to location,No.,> 60,Male,"$50,000-$74,999",East North Central,Android Phone / Tablet
6803707560,172774609,4/4/18 12:37,4/4/18 12:46,,,,,b2abcb4a43aa86a503a41b606f,86,Male,Connecticut,live in a small town,28000,Other,Item1_RobotoSlab,8,Item2_Roboto,12,Item3_RobotoSlab,12.5,Item4_Roboto,13,Item5_PTSans,13,Item6_JosefinSans,11.5,I do not understand any of it.,No.,> 60,Male,"$25,000-$49,999",New England,Windows Desktop / Laptop
6803694567,172774609,4/4/18 12:33,4/4/18 12:39,,,,,370a8109763b56b2061a078bf2,64,Male,Michigan,Rochester Hills ,150000,Omnivore,Item1_Roboto,5,Item2_PTSerif,5,Item3_JosefinSlab,6,Item4_JosefinSans,6,Item5_JosefinSans,5,Item6_Roboto,8,how much similar food is priced in our area  and how our area influences  what we would pay for a meal,No.,> 60,Male,"$125,000-$149,999",East North Central,Windows Desktop / Laptop
6803680520,172774609,4/4/18 12:28,4/4/18 12:30,,,,,8754eeb9451ad825b5d2a21b02,18,Male,Michigan,Detroit,25000,Other,Item1_RobotoSlab,22,Item2_Roboto,33,Item3_Roboto,25,Item4_PTSerif,28,Item5_Roboto,20,Item6_RobotoSlab,19,I dont really know but thanks,"Yes, but I did not find the actual prices.",18-29,Male,"$10,000-$24,999",East North Central,iOS Phone / Tablet
